"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"r1oe","Yayoi Restaurant (Central Plaza Khon Kaen)","Japanese","4.9","(100+)","Khon Kaen"
"w64j","BreadTalk (Central Khon Kaen)","International","5","(2)","Khon Kaen"
"adch","Arigato (Central Khon Khaen)","Beverages","4.8","(8)","Khon Kaen"
"g5gb","Champ Noodle (Sri Chant)","Thai","4.6","(100+)","Khon Kaen"
"u9vc","Fuji (Central Khonkaen)","Japanese","4.6","(100+)","Khon Kaen"
"u9ld","Zen (Central Khon Kaen)","Japanese","4.5","(100+)","Khon Kaen"
"a2wg","Noi Lab Ped Lhak Mueang","Thai","4.3","(100+)","Khon Kaen"
"w1nm","Sizzler (Central Khon Kaen)","International","4.5","(100+)","Khon Kaen"
"v0jw","Best in Box (Khon Kaen)","Beverages","4.9","(100+)","Khon Kaen"
"d7dm","Nong Lak Pork Noodles (Branch 1)","Thai","4.6","(100+)","Khon Kaen"
"i2w1","Mae Kwang Ar Han Tam Sang - Soi Sri Chan 15","Thai","4","(89)","Khon Kaen"
"y3mu","Newbury The Urban","Beverages","4.8","(100+)","Khon Kaen"
"u6s2","Somtum Palinya","Thai","4.4","(100+)","Khon Kaen"
"u7ut","Auntie Anne’s (Central Khon Kaen)","American","4.7","(500+)","Khon Kaen"
"u0eu","Zab Nour Krua Esan","Thai","4.5","(500+)","Khon Kaen"
"k3sy","Bonchon Chicken (Central Khonkaen)","Korean","4.5","(100+)","Khon Kaen"
"x1pj","Mae Phet (Bakham Champ Noodles)","Thai","4.4","(100+)","Khon Kaen"
"tknj","Oishi Kitchen (Central Khon Kaen)","Japanese","4.4","(31)","Khon Kaen"
"r4gv","Nikuya (Central Khonkaen)","Japanese","4.9","(27)","Khon Kaen"
"b6qa","J Puy Crab Fried Rice","Thai","4.7","(100+)","Khon Kaen"
"wtus","Rot Dee Det (Nongwang Market)","Thai","4.5","(100+)","Khon Kaen"
"umb1","Ka Prao Sab","Thai","4.6","(69)","Khon Kaen"
"v4ik","Laem Charoen Seafood (Central Konkaen)","Thai","4.7","(86)","Khon Kaen"
"g0br","Strack Yum (Central Plaza Khon Kaen)","Thai","4.5","(100+)","Khon Kaen"
"n3io","Air Roi Pun","Beverages","4.8","(100+)","Khon Kaen"
"s90v","Fresh Me (Srinakarin Hospital Khon Kaen)","Beverages","5","(1)","Khon Kaen"
"eh1d","Nua Cafe Chatapadung Road","Beverages","4.8","(27)","Khon Kaen"
"nvkq","Waffle Khan Thep (Na Mueang)","Asian","4.9","(32)","Khon Kaen"
"faav","BAN MAHACHOKCHAI - Prachasomoson","Thai","4.8","(60)","Khon Kaen"
"b4tn","Tam Ra Bert Torrung  Khon Kaen","Thai","4.3","(1000+)","Khon Kaen"
"dhp7","Tops at Taste (Central Plaza Khon Kaen)","Thai","4.9","(17)","Khon Kaen"
"o52c","Grilled Chicken Udon (Na Mueang Road)","Thai","4.7","(26)","Khon Kaen"
"gjpe","After You Dessert Cafe (Central Khonkaen)","Thai","5","(2)","Khon Kaen"
"y0df","OISHI Ramen (Central Khonkaen)","Japanese","4.8","(100+)","Khon Kaen"
"g5ob","Jae Ood Tarm Sung","Thai","3.1","(39)","Khon Kaen"
"m5wv","Black Canyon (Central Khonkaen)","Beverages","4.6","(90)","Khon Kaen"
"ty49","Guay Tiew Ped Ta Dum Khon Kaen","Thai","4.9","(75)","Khon Kaen"
"y3wr","Gai Yang Mittraphap Khao Suan Kwang (Maliwan)","Thai","4.5","(100+)","Khon Kaen"
