"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"zg5i","Yinchu Chinese Food","Asian","4","(1)","Bangkok"
"zgbq","Kruff (Udomsuk)","International","4.8","(83)","Bangkok"
"d7zc","Ton Nom Sod and Kanompang Sangkhaya","Beverages","4.6","(100+)","Bangkok"
"bqit","Karniel Mooping (Pracha Songkhro)","Thai","4.8","(1000+)","Bangkok"
"uc11","On The Grill (Udomsuk)","Thai","4.9","(77)","Bangkok"
"mhgu","Ice Cream Puean Yim Day Ice Cream Homemade and Premium","Ice Cream","4.9","(56)","Bangkok"
"xjne","Jim Joom Sutthiporn (Branch2)","Thai","4.6","(1000+)","Bangkok"
"d9dm","Ko Deng and Ho Deng Noodle (Lat Phrao 132)","Thai","4.3","(500+)","Bangkok"
"b1lv","Sam Num Aharn Tam Sang (Lat Phrao 132)","Thai","4.5","(3000+)","Bangkok"
"ywjx","Yum Ma Miw (Ramkhamhaeng 1)","Thai","5","(34)","Bangkok"
"gp5q","Krua Suthi Mieng Pla Pao","Thai","4.5","(500+)","Bangkok"
"ys15","Tee Noi Moo Pla Ra (Soi Na Thong 6)","Thai","4.6","(56)","Bangkok"
"ye36","Kreung Sen (Huai Khwang)","Thai","3.5","(44)","Bangkok"
"x8vo","Yum Zaap Nua","Thai","4.7","(1000+)","Bangkok"
"i9zl","Pad Thai and Hoi Tord Pak Nam Po (The Mall Bangkapi)","Thai","4.7","(500+)","Bangkok"
"fdfd","Joke Bangkok Huai Khwang","Thai","4.8","(1000+)","Bangkok"
"mu6u","Larb Kalasin Pee Tum (Ladprao 101 Soi 2)","Thai","3.1","(100+)","Bangkok"
"fu9t","Love Malatang (Huai Kwang)","Chinese","5","(1)","Bangkok"
"cvwj","Pra Jum Mala","Chinese","3.2","(7)","Bangkok"
"cb6v","Boiled Pork Blood Tajim","Thai","5","(47)","Bangkok"
"b81k","Tum Zaap (Pracha Song Khro28)","Thai","4.4","(500+)","Bangkok"
"u6ng","Por Charoen Chai","Thai","4.5","(2000+)","Bangkok"
"x71y","Chicken Pillars","International","4.6","(93)","Bangkok"
"sm3g","JJ Salad Roll","Thai","4.8","(100+)","Bangkok"
"e7w1","E Chun Mor Fai Phet Ma La Mor Fai","Chinese","4.8","(5)","Bangkok"
"uzra","Racha Khao Pad Pu Talay Seafood","Thai","3.9","(3)","Bangkok"
"x39p","Tod Aow Mans","Thai","4.7","(61)","Bangkok"
"on6r","Aor Charoen Chai Kai Ton (Din Daeng)","Thai","4.9","(8)","Bangkok"
"yte0","Kao Na Kai Saint Louis (Ratchada)","Thai","5","(4)","Bangkok"
"h8q7","Lap 101 Naiya Kai Yang Wichian (Branch 3)","Thai","4.2","(2000+)","Bangkok"
"w25b","Kinshiro Izakaya Ramen","Japanese","4","(7)","Bangkok"
"cndi","Lap 101 Naiya Kai Yang Wichian (Thiamruammit Rd.)","Thai","4.9","(10)","Bangkok"
"w3hu","Krua 3 P Nong","Thai","4.2","(500+)","Bangkok"
"rnjp","Kao Mun Kai Chula22 (Happy Land Sai 1)","Thai","4.8","(500+)","Bangkok"
"w88f","Arhan Tam Sung Jay Koi (Huai Khwang)","Thai","3.5","(35)","Bangkok"
"duys","Somtam Aroi Sut (Huai Khwang)","Thai","4.6","(4)","Bangkok"
"bh3x","Krua Tum Ra Reng","Thai","3.3","(30)","Bangkok"
