"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"d28m","Mild Vegetarian Food","American","4.8","(87)","Chiang Mai"
"v5pu","Fuel Coffee (Caltex Fa Ham)","Beverages","4.5","(100+)","Chiang Mai"
"fyyw","Khaow Tom Cha Cha Cha","Thai","4.6","(100+)","Chiang Mai"
"l9gn","Arom Aroi","Thai","4","(2)","Chiang Mai"
"x1co","Klom Cafe","Beverages","4.9","(500+)","Chiang Mai"
"e6rs","Juice Hub","Beverages","4.5","(12)","Chiang Mai"
"b3ld","Khun Mor Fry Chicken","Thai","4.9","(100+)","Chiang Mai"
"hths","Sumo Krata Lhek","Thai","4.4","(8)","Chiang Mai"
"x6nw","Kao Kaeng Jae Nong (Pratu Chiang Mai)","Thai","4.4","(1000+)","Chiang Mai"
"y3ct","IM SUB","Thai","4.6","(3000+)","Chiang Mai"
"t6rd","Cafe de Thaan Aoan (Chiang Mai)","International","4.8","(500+)","Chiang Mai"
"jrg9","Kai Tod (Pra Pok Klao Soi 2)","Thai","4","(10)","Chiang Mai"
"a4vf","Chom Wiang","Thai","4.7","(100+)","Chiang Mai"
"y9lo","Cha Cha Bubble Tea (ChiangMai Gate Branch)","Beverages","4.2","(100+)","Chiang Mai"
"v3iy","Mum Bua Northern Food","Thai","4.4","(1000+)","Chiang Mai"
"a3pq","Sawoie Waan","Thai","4.4","(500+)","Chiang Mai"
"qwi4","Horapa Kitchen and Cafe","International","2.3","(4)","Chiang Mai"
"l6yf","333 Coffee Bubble Tea (Big C Laguna)","Thai","4.9","(66)","Chiang Mai"
"voed","Soup Kradook Maejo (ChiangMai Gate)","Thai","4.6","(100+)","Chiang Mai"
"y7gh","Light up cafe x Rabbit hole (ช้างเผือก)","Beverages","4.6","(1000+)","Chiang Mai"
"r7lf","Khaokhamoo Jingjai Charakang Pangcharoen","Beverages","4.3","(100+)","Chiang Mai"
"v5zt","Rich Coffee House","Beverages","4.4","(100+)","Chiang Mai"
"b2iq","Toasted Bread (Nar Sanam Kela Thetsaban)","Beverages","4.5","(2000+)","Chiang Mai"
"xzux","Curry Puff Coffee and Choy Coffee (Kham Tieng)","Beverages","5","(38)","Chiang Mai"
"g0ul","Jok Somphet Restaurant","Thai","4.7","(10000+)","Chiang Mai"
"b8vz","Herbal Juice By Tonnam","Thai","4.7","(100+)","Chiang Mai"
"qj6g","Moo Aood A Han Tam Sang","Thai","4.8","(100+)","Chiang Mai"
"g8lh","Vegetarian Garden Home","Thai","4.9","(100+)","Chiang Mai"
"u7fw","R-Ree-Doi Fresh Coffee","Beverages","4.9","(2000+)","Chiang Mai"
"q1ho","Moo Thot Woei Hoei","Thai","4.8","(3000+)","Chiang Mai"
"n2uw","Khaomankai Hailam","Thai","4.6","(1000+)","Chiang Mai"
"i5pr","SeeFah Chicken Rice MeeChoke","Thai","4.8","(1000+)","Chiang Mai"
"jeie","Yi Moo Kai Ob Ong (Yupparaj)","Thai","5","(62)","Chiang Mai"
"w1zl","Coffee Bus","Thai","4.6","(100+)","Chiang Mai"
"v9jr","Cha Jompon (Viengping Food Center)","Beverages","4.8","(3000+)","Chiang Mai"
"loh1","Somdule Coffee","Beverages","5","(38)","Chiang Mai"
"c1zo","Nuan Hom Nam Ngiew Chiangrai","Thai","4.7","(100+)","Chiang Mai"
"peiv","Code Space Co-Working Space","Beverages","5","(2)","Chiang Mai"
"v5wx","Rong tiam dimsum","Chinese","2.5","(36)","Chiang Mai"
"f0vv","GORD CHIANGMAI KITCHEN","Thai","4.8","(100+)","Chiang Mai"
"vrpz","Klin Ka-Nom (Sam Kasat)","Thai","3.6","(4)","Chiang Mai"
"dkwg","Crispy Pork Rice (3 Kasat)","Asian","4.8","(2000+)","Chiang Mai"
"fgmw","Crate Coffee and More","Beverages","3.7","(37)","Chiang Mai"
"ehjq","Im Jung","Thai","4.9","(43)","Chiang Mai"
"g0hg","J Tu Coffee and Cafe","Beverages","5","(11)","Chiang Mai"
"jhxr","Keane Coffee","Beverages","5","(1)","Chiang Mai"
"ngxg","Dubai Chicken Rice (Wualai)","Thai","5","(11)","Chiang Mai"
"he5j","Ran Khunmae Mu Ping (Changphueak)","Thai","4.5","(62)","Chiang Mai"
"y6bc","Civilize Cafe and Bake","Beverages","4.7","(500+)","Chiang Mai"
"y1vz","Ratika Cafe Speed Bar In Town","Beverages","4.7","(100+)","Chiang Mai"
"m76j","Cake Hommon at Bor Srang","Thai","4.4","(100+)","Chiang Mai"
"f7fp","Elliebum Bistro and Bar","International","2.9","(26)","Chiang Mai"
"chre","Moo Ping Na Ban Khao Ngiew and Moo Ping","Thai","4.8","(61)","Chiang Mai"
"ozgf","Joke Na Chiang Mai","Thai","4.3","(17)","Chiang Mai"
"wo10","Cha Kafae Sod Suk Kit","Beverages","4.9","(13)","Chiang Mai"
"emz4","Coffee Glasshopper","Beverages","5","(100+)","Chiang Mai"
"h1by","Enjoy Coffee","Beverages","4.4","(18)","Chiang Mai"
"okj0","Arhan Tamsang Cafe by Mum Aroi","Thai","4.5","(36)","Chiang Mai"
"qd1h","Moo Tod Jiang Hai by Khru Noi","Thai","4.4","(24)","Chiang Mai"
"xkk5","Yunnan Egg Noodle","Chinese","4.9","(100+)","Chiang Mai"
"n9l5","Kaphrao Haeng Guay Tiew Khua Kai (Chang Phueak)","Thai","4.4","(24)","Chiang Mai"
"noof","Ja Daeng Yentafo (Rajabhat Chiang Mai)","Thai","4.8","(100+)","Chiang Mai"
"i1cv","Kanomkrok Sai Ta Lak","Thai","4.5","(100+)","Chiang Mai"
"w4v4","Kao Tom Sa lee Ping Chai","Thai","4.7","(100+)","Chiang Mai"
"d8fp","Khun Lee Food","Thai","4.6","(1000+)","Chiang Mai"
"utsx","Khao Kha Mu Talat Changphueak","Thai","4.8","(100+)","Chiang Mai"
"d8ke","Sausage King","Western","5","(46)","Chiang Mai"
"c36p","Che Aeo Crepe Sing","Thai","4.9","(41)","Chiang Mai"
"cv6f","Khaoniao Mu Ping (Nong Chom)","Thai","4.7","(2)","Chiang Mai"
"p0xa","Krua Pa Toi (Wua Lai)","Thai","4.6","(100+)","Chiang Mai"
"om5e","Moo Ping Nuer Yang Lung Dam","Thai","3.9","(11)","Chiang Mai"
"laxq","Hua Seng Hong Dimsum (Motorway  Haiya)","Chinese","4.9","(100+)","Chiang Mai"
"ph7s","Mix Coffee Branch 2","Beverages","5","(45)","Chiang Mai"
"g0pf","Tom Teaw Roue Yokzod Sankamphaeng","Thai","4.8","(500+)","Chiang Mai"
"z3yl","Nid Somtum","Thai","4.7","(2000+)","Chiang Mai"
"kfe2","Peterpannn","Thai","5","(45)","Chiang Mai"
"qhvh","Kaphrao Hia Korn","Thai","4.8","(59)","Chiang Mai"
"bfbn","Atchara Kuaitiao Kai Tun","Thai","4","(6)","Chiang Mai"
"y3tb","Pad Thai Je Wan Dee","Thai","4.6","(1000+)","Chiang Mai"
"je4l","Cha Adel Cha Khem Kon Khong Kon Tai (Pa Deat)","Beverages","5","(5)","Chiang Mai"
"qq3m","Force Coffee and Bar","Beverages","5","(31)","Chiang Mai"
"his2","Yumpumajedyod (PTT Sansai Luang)","Thai","4.8","(500+)","Chiang Mai"
"w900","Paporn Jok Khaotom","Thai","4.5","(100+)","Chiang Mai"
"gtfa","Kanom Jeeb Rai Tiem Tan","Chinese","5","(21)","Chiang Mai"
"hrbh","Surirat Ahantamsang Sawked Thipanet","Thai","4.6","(2000+)","Chiang Mai"
"v4nr","NAYA Salapao","Chinese","4.8","(500+)","Chiang Mai"
"s4ym","Racha Khaomankai","Northern Thai","4.4","(1000+)","Chiang Mai"
"h5za","Lungpun","Thai","4.7","(4000+)","Chiang Mai"
"g3hd","Curry Puff Coffee at Thanin Market","Beverages","4.9","(500+)","Chiang Mai"
"w1ji","Curry Puff Muaklek Saraburi (Siriwattana Market)","Thai","4.9","(100+)","Chiang Mai"
"haka","Krua Por Pieng O Cha","Thai","4.8","(100+)","Chiang Mai"
"pi4v","Gril Gril  Korean fried chicken","Thai","4.7","(96)","Chiang Mai"
"khhm","Chick Chick","Thai","4.7","(100+)","Chiang Mai"
"m0jd","The Xym Cafe'","Beverages","5","(41)","Chiang Mai"
"rvvv","Sathani Pathongko (Chiang Mai)","Thai","4.7","(100+)","Chiang Mai"
"q4yh","Kaprao Zab X Teafac","Thai","5","(5)","Chiang Mai"
"c6cr","Kaomunkai Chao Yong","Thai","4.6","(100+)","Chiang Mai"
"z0nc","Hoy tod Pad thai","Thai","3.7","(100+)","Chiang Mai"
"j9gd","Lampang Lert Rot 4 (Buak haat Park)","Thai","4.7","(1000+)","Chiang Mai"
"fe0b","Sandwich Bar","International","4.9","(22)","Chiang Mai"
"cgkr","This is pung","International","4.5","(3)","Chiang Mai"
"bhvy","Under Bridge Coffee","Beverages","5","(1)","Chiang Mai"
"y7qz","Kao Klong Klai Chan Arhan Tam Sang (Soi Chom Chan)","Thai","4.1","(500+)","Chiang Mai"
"g6xc","Bulls' CAFE","Beverages","4.8","(1000+)","Chiang Mai"
"tx0u","Pun Pao (Chiang Mai)","Chinese","4.9","(21)","Chiang Mai"
"il9f","Kanom Jeeb Nai Bow","Thai","3.8","(20)","Chiang Mai"
"up1j","Mikawa Cafe (Chiang Mai)","Beverages","4.6","(100+)","Chiang Mai"
"cl1g","Cafe Amazon (Saraphi Railway)","Beverages","4.7","(1000+)","Chiang Mai"
"nlrb","Kao Kamoo Jae Air Kao Munkai Kao Mookrob","Thai","5","(22)","Chiang Mai"
"w0yk","Kapor indy","Beverages","4.8","(1000+)","Chiang Mai"
"v2gb","Minimal Coffee (Suan Dok)","Beverages","4.8","(3000+)","Chiang Mai"
"ewo8","Kuay Tiew Thonglor","Thai","4.9","(3)","Chiang Mai"
"w9vb","Loong Yai Somtum Kai Yang","Thai","4.3","(100+)","Chiang Mai"
"v5qa","Rong Ros Cafe","International","4.7","(79)","Chiang Mai"
"zrr8","High Zone Kitchen","Thai","4.1","(3)","Chiang Mai"
"b8rc","Mamere coffee","Beverages","4.4","(100+)","Chiang Mai"
"cm4r","Khaohom Khaoho","Thai","4.1","(500+)","Chiang Mai"
"dce9","Kao Tom Khun Yai","Thai","4.6","(63)","Chiang Mai"
"w9mu","Khanom Sen Nung Yong","Thai","4.6","(500+)","Chiang Mai"
"x7mj","Kuaitiao Kai Tun (Sam Yaek Santitham)","Thai","4.8","(1000+)","Chiang Mai"
"q9qq","Fresh Fruits Home","Thai","4.8","(100+)","Chiang Mai"
"y2wa","Baan Bond Cafe","Beverages","4.8","(100+)","Chiang Mai"
"gb2j","Gain (San Na Meng)","International","5","(27)","Chiang Mai"
"ilxl","Five Star (Suan Dok Hospital)","Thai","4.6","(100+)","Chiang Mai"
"w6r2","Ongsa Coffee","Beverages","4.8","(100+)","Chiang Mai"
"ahrv","Chok Dee Joke Khao Tom (Suan Doke Tanon Suthep)","Thai","4.5","(27)","Chiang Mai"
"akt4","48 City Coffee","Beverages","5","(14)","Chiang Mai"
"v8tc","Sook San","International","4.9","(1000+)","Chiang Mai"
"v3vw","Mom and I Make Coffee (Sansai)","Beverages","4.8","(500+)","Chiang Mai"
"u1tx","Anchan Noodle Chiang Mai","Thai","4.6","(1000+)","Chiang Mai"
"h0qq","Khao Kha Moo","Thai","4.2","(100+)","Chiang Mai"
"zzil","Fae Hom Coffee","Beverages","5","(2)","Chiang Mai"
"z9oa","CUSTO CAFE","Beverages","4.9","(500+)","Chiang Mai"
"bfzv","Krua Rung Thip","Thai","4.5","(40)","Chiang Mai"
"g9eq","Tom Yum Noodles Chicken Rice Ta Pae","Thai","4","(100+)","Chiang Mai"
"u4uj","Nitrofee","Beverages","4.8","(100+)","Chiang Mai"
"l0to","Moopingnaychang Padad","Thai","4.5","(500+)","Chiang Mai"
"a9fj","Khrua Unchai","Thai","4.8","(100+)","Chiang Mai"
"va48","Suki Rod Niyom","Thai","4.2","(13)","Chiang Mai"
"lq1z","SweetBunny","Cakes & Bakery","5","(7)","Chiang Mai"
"y0wh","Coffee Window at 14 Soi 7","Thai","4.9","(100+)","Chiang Mai"
"u3nl","Pordeekum","Thai","4.3","(100+)","Chiang Mai"
"ux8p","Salmon Bar and Delivery (Chiang Mai)","Japanese","5","(10)","Chiang Mai"
