"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"h5iy","Ran Yum Tam Jai Khun JP","Thai","4.7","(500+)","Chanthaburi"
"cwbm","Je Mai Fruit","Thai","4.8","(500+)","Chanthaburi"
"g1sf","Dream Steak","International","4.7","(1000+)","Chanthaburi"
"b0iv","Khao Man Kai Nay Duang (Tha Chalaeb Road)","Thai","4.7","(33)","Chanthaburi"
"b3ad","Tu Northern Food","Thai","4.3","(100+)","Chanthaburi"
"n5op","Good Day","Beverages","4.9","(500+)","Chanthaburi"
"c1bd","Kaomunkai Hia Auan (JP)","Thai","4.5","(1000+)","Chanthaburi"
"b2gi","Chalay Buffet Toppings","Beverages","4.6","(1000+)","Chanthaburi"
"r6hx","Esan To Rung JP","Thai","4.8","(100+)","Chanthaburi"
"dx6q","Bar-B-Q JP","Thai","4.9","(100+)","Chanthaburi"
"ucnt","Kaphrao Phrik Haeng","Thai","4.7","(100+)","Chanthaburi"
"h4ls","Ran Nam Taohu Chaing Mai JP","Beverages","4.9","(500+)","Chanthaburi"
"plym","Suki Yam Ahan Tam Sang Yaek Bokhoso","Thai","4.8","(100+)","Chanthaburi"
"pgy5","Steak Dek Naeo","International","4.8","(24)","Chanthaburi"
"nesv","Lueat Mu Tom Hia Poom (JP Market)","Thai","4.6","(83)","Chanthaburi"
"rqkk","I Am Coco","Beverages","3.5","(39)","Chanthaburi"
"ej3r","Khao Na Rice to Meat You","Thai","4.1","(20)","Chanthaburi"
"c7ye","XOXO Cafe","Beverages","4.8","(500+)","Chanthaburi"
"chyw","Doem JP","Thai","4.6","(14)","Chanthaburi"
"tqw2","Kanom Bakery Homemade","International","1","(1)","Chanthaburi"
"b4aq","Ped Yang Sang Chan (Tha Chalaeb Road)","Thai","4.8","(9)","Chanthaburi"
"b0hx","Kanomjeen Narmya Pu Jae Ngek","Thai","4.8","(100+)","Chanthaburi"
"b2bk","Kaow Tom Daung Dee","Thai","4.6","(100+)","Chanthaburi"
"gkuw","Kaphrao Awakat Na Lan Chan","Thai","4.7","(73)","Chanthaburi"
"c6ce","Tum Mariam","Thai","4.6","(2000+)","Chanthaburi"
"reuo","Jae Wimon Ahan Tam Sang J.P.","Thai","3.2","(6)","Chanthaburi"
"b3jm","Tiew Ruea Lear Pak","Thai","4.5","(500+)","Chanthaburi"
"b5dg","Kuay Teow Bannok Sute Boran","Thai","4.5","(100+)","Chanthaburi"
"p9bh","Rad Na JP","Thai","4.7","(100+)","Chanthaburi"
